"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","word_line","char_trial","char_line","regress","wordID","land_pos","sacc_len","blink","prev_blink","after_blink","outOfBnds","outsideText","hasText","time_since_start","max_char_line","Rtn_sweep","Rtn_sweep_type"
"14",1,99,3,1,1502696,1502863,468.3,595.7,14,167,53,1,2,11,2,61,6,0,"to",1,48,0,0,0,0,0,1,3843,38,1,"undersweep"
"35",1,32,2,2,1511668,1511806,295.4,594.2,15,138,63,1,2,15,2,74,7,0,"the",1,59,0,0,0,0,0,1,4899,46,1,"undersweep"
"55",1,40,1,3,1522338,1522506,404,594.8,12,168,57,1,2,13,2,74,9,0,"another",4,50,0,0,0,0,0,1,3419,32,1,"undersweep"
"79",1,22,1,4,1533704,1533844,323.7,606,16,140,58,1,2,18,3,75,8,0,"argue",1,55,0,0,0,0,0,1,4652,36,1,"undersweep"
"98",1,34,1,5,1545744,1545896,482.8,586.1,13,152,56,1,2,14,2,73,7,0,"were",3,52,0,0,0,0,0,1,4226,55,1,"undersweep"
"138",1,92,2,6,1562157,1562295,247.2,594,22,138,65,1,2,13,2,71,4,0,"patient's",0,60,0,0,0,0,0,1,6989,51,1,"undersweep"
"157",1,91,1,7,1570796,1571160,392,598.9,11,364,57,1,2,12,2,56,3,0,"she",0,46,0,0,0,0,0,1,3854,42,1,"accurate"
"176",1,35,2,8,1577968,1578108,423.3,579.6,11,140,53,1,2,11,1,59,5,0,"jumped",5,45,0,0,0,0,0,1,2926,51,1,"undersweep"
"203",1,6,3,9,1590132,1590279,472.9,592.4,16,147,62,1,2,13,2,74,8,0,"she",0,57,0,0,0,0,0,1,4024,53,1,"undersweep"
"223",1,55,1,10,1601439,1601586,320,595.5,11,147,52,1,2,10,3,62,9,0,"playing",1,38,0,0,0,0,0,1,3656,42,1,"undersweep"
"243",1,3,3,11,1609659,1609794,390.8,573.9,14,135,54,1,2,13,2,64,9,0,"festival",3,NA,0,0,0,0,0,1,4060,49,1,"undersweep"
"269",1,96,3,12,1622761,1622961,331.5,623.9,17,200,62,1,2,14,3,73,7,0,"customers",0,58,0,0,0,0,0,1,4254,45,1,"accurate"
"297",1,68,2,13,1631808,1632121,340.9,600.2,17,313,67,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,4751,46,1,"accurate"
"325",1,16,1,14,1642433,1642615,363.1,607.7,15,182,63,1,2,15,2,73,6,0,"probably",2,59,0,0,0,0,0,1,4935,75,1,"undersweep"
