"","sub","item","cond","seq","MSG1","MSG2"
"1",1,99,3,1,1502671,1502678
"2",1,32,2,2,1511634,1511636
"3",1,40,1,3,1521000,1521002
"4",1,22,1,4,1531918,1531927
"5",1,34,1,5,1543364,1543368
"6",1,92,2,6,1557983,1557984
"7",1,91,1,7,1570771,1570775
"8",1,35,2,8,1577944,1577950
"9",1,6,3,9,1587842,1587850
"10",1,55,1,10,1599765,1599774
"11",1,3,3,11,1606979,1606982
"12",1,96,3,12,1620409,1620416
"13",1,68,2,13,1631268,1631273
"14",1,16,1,14,1638751,1638756
"15",1,69,3,15,1653362,1653364
"16",1,11,2,16,1665636,1665639
"17",1,101,2,17,1674704,1674713
"18",1,54,3,18,1685175,1685180
"19",1,105,3,19,1692454,1692463
"20",1,30,3,20,1698881,1698888
"21",1,45,3,21,1715465,1715470
"22",1,77,2,22,1722510,1722512
"23",1,60,3,23,1729724,1729728
"24",1,74,2,24,1740473,1740478
"25",1,78,3,25,1779835,1779843
"26",1,72,3,26,1789031,1789034
"27",1,62,2,27,1801789,1801792
"28",1,70,1,28,1812817,1812825
"29",1,51,3,29,1822113,1822116
"30",1,33,3,30,1830448,1830450
"31",1,7,1,31,1838788,1838791
"32",1,86,2,32,1851739,1851741
"33",1,103,1,33,1862769,1862773
"34",1,38,2,34,1872565,1872573
"35",1,100,1,35,1882264,1882273
"36",1,58,1,36,1893126,1893131
"37",1,76,1,37,1910187,1910188
"38",1,81,3,38,1916851,1916855
"39",1,89,2,39,1926919,1926921
"40",1,42,3,40,1933051,1933054
"41",1,28,1,41,1945812,1945821
"42",1,17,2,42,1958578,1958587
"43",1,41,2,43,1972347,1972353
"44",1,47,2,44,1984614,1984619
"45",1,98,2,45,1991960,1991969
"46",1,80,2,46,1999823,1999827
"47",1,14,2,47,2009719,2009726
"48",1,46,1,48,2021549,2021551
"49",1,56,2,49,2031511,2031517
"50",1,63,3,50,2078118,2078127
"51",1,104,2,51,2088684,2088685
"52",1,93,3,52,2102138,2102143
"53",1,8,2,53,2112465,2112467
"54",1,67,1,54,2120654,2120659
"55",1,84,3,55,2131571,2131575
"56",1,90,3,56,2141905,2141908
"57",1,97,1,57,2149346,2149349
"58",1,83,2,58,2163034,2163041
"59",1,59,2,59,2171485,2171490
"60",1,79,1,60,2180414,2180423
"61",1,5,2,61,2186537,2186540
"62",1,48,3,62,2199730,2199739
"63",1,53,2,63,2208811,2208814
"64",1,29,2,64,2216820,2216822
"65",1,21,3,65,2228452,2228455
"66",1,25,1,66,2239933,2239938
"67",1,52,1,67,2256577,2256579
"68",1,37,1,68,2266148,2266154
"69",1,64,1,69,2282849,2282853
"70",1,31,1,70,2289422,2289428
"71",1,49,1,71,2300635,2300644
"72",1,27,3,72,2316716,2316718
"73",1,61,1,73,2329168,2329176
"74",1,88,1,74,2337195,2337201
"75",1,50,2,75,2372293,2372300
"76",1,87,3,76,2384378,2384383
"77",1,26,2,77,2391785,2391791
"78",1,43,1,78,2404344,2404349
"79",1,94,1,79,2417048,2417056
"80",1,19,1,80,2425447,2425456
"81",1,102,3,81,2437889,2437897
"82",1,44,2,82,2446893,2446897
"83",1,15,3,83,2454980,2454988
"84",1,73,1,84,2466493,2466496
"85",1,1,1,85,2475674,2475679
"86",1,36,3,86,2488650,2488654
"87",1,82,1,87,2501715,2501720
"88",1,71,2,88,2506750,2506753
"89",1,23,2,89,2515495,2515503
"90",1,65,2,90,2526580,2526586
"91",1,2,2,91,2537136,2537144
"92",1,4,1,92,2548650,2548652
"93",1,18,3,93,2557482,2557485
"94",1,85,1,94,2568627,2568634
"95",1,75,3,95,2580220,2580226
"96",1,24,3,96,2590620,2590625
"97",1,95,2,97,2601718,2601725
"98",1,39,3,98,2609022,2609025
"99",1,13,1,99,2617871,2617874
"100",1,9,3,100,2631971,2631974
"101",1,66,3,101,2641922,2641923
"102",1,20,2,102,2648894,2648898
"103",1,57,3,103,2661216,2661223
"104",1,10,1,104,2669329,2669331
"105",1,12,3,105,2683719,2683722
"106",2,99,1,1,1393444,1393445
"107",2,32,3,2,1398788,1398795
"108",2,40,2,3,1409971,1409978
"109",2,22,2,4,1418664,1418669
"110",2,34,2,5,1431026,1431035
"111",2,92,3,6,1445057,1445060
"112",2,91,2,7,1453167,1453176
"113",2,35,3,8,1458668,1458676
"114",2,6,1,9,1466477,1466484
"115",2,55,2,10,1477256,1477259
"116",2,3,1,11,1482298,1482300
"117",2,96,1,12,1490526,1490533
"118",2,68,3,13,1498441,1498449
"119",2,16,2,14,1506206,1506207
"120",2,69,1,15,1518110,1518115
"121",2,11,3,16,1525170,1525173
"122",2,101,3,17,1533891,1533898
"123",2,54,1,18,1543011,1543015
"124",2,105,1,19,1551679,1551681
"125",2,30,1,20,1585560,1585563
"126",2,45,1,21,1592424,1592429
"127",2,77,3,22,1600151,1600154
"128",2,60,1,23,1607058,1607062
"129",2,74,3,24,1616857,1616862
"130",2,78,1,25,1623994,1623995
"131",2,72,1,26,1631489,1631495
"132",2,62,3,27,1638409,1638411
"133",2,70,2,28,1645077,1645086
"134",2,51,1,29,1650872,1650877
"135",2,33,1,30,1658168,1658177
"136",2,7,2,31,1665729,1665735
"137",2,86,3,32,1674076,1674085
"138",2,103,2,33,1679567,1679576
"139",2,38,3,34,1685079,1685085
"140",2,100,2,35,1697715,1697717
"141",2,58,2,36,1703184,1703192
"142",2,76,2,37,1710865,1710867
"143",2,81,1,38,1716260,1716267
